;Num_Acc;id_vehicule;num_veh;catu;grav;catv;;obsm;dep;com;adr;lat;long;;voie;v1;v2;vosp;vma
1492;2,02E+11;138 305 310;B01;1;4;1;;2;75;75115;RUE DE L ARRIVEE;48,844185;2,322892;;RUE DE L ARRIVEE;0.0;;-1;50
1493;2,02E+11;138 305 308;A01;3;4;7;;1;75;75111;AVENUE DE LA REPUBLIQUE;48,863372;2,384521;;AVENUE DE LA REPUBLIQUE;0.0;;0;30
1494;2,02E+11;138 305 308;A01;1;1;7;;1;75;75111;AVENUE DE LA REPUBLIQUE;48,863372;2,384521;;AVENUE DE LA REPUBLIQUE;0.0;;0;30
1495;2,02E+11;138 305 307;A01;1;1;7;;1;75;75108;BOULEVARD MALESHERBES;48,87472;2,31995;;BOULEVARD MALESHERBES;0.0;;-1;50
1496;2,02E+11;138 305 307;A01;3;4;7;;1;75;75108;BOULEVARD MALESHERBES;48,87472;2,31995;;BOULEVARD MALESHERBES;0.0;;-1;50
1497;2,02E+11;138 305 305;B01;1;4;32;;2;75;75102;PLACE DE L OPERA;48,870694;2,332524;;PLACE DE L OPERA;0.0;;0;50
1498;2,02E+11;138 305 306;A01;1;1;7;;2;75;75102;PLACE DE L OPERA;48,870694;2,332524;;PLACE DE L OPERA;0.0;;0;50
1499;2,02E+11;138 305 304;A01;1;4;50;;0;75;75102;BOULEVARD MONTMARTRE;48,871698;2,341595;;BOULEVARD MONTMARTRE;0.0;;1;50
1500;2,02E+11;138 305 302;A01;1;4;31;;2;75;75103;RUE SAINT MARTIN;48,867919;2,355024;;RUE SAINT MARTIN;0.0;;-1;30
1501;2,02E+11;138 305 300;A01;1;4;7;;2;75;75117;RUE JACQUES IBERT;48,889105;2,290902;;RUE JACQUES IBERT;0.0;;0;30
1740;2,02E+11;138 305 078;A01;1;4;30;;2;75;75114;BD PERIPHERIQUE INTERIEUR;48,82146;2,319226;;BD PERIPHERIQUE INTERIEUR;0.0;;0;70
1741;2,02E+11;138 305 079;B01;1;1;7;;2;75;75114;BD PERIPHERIQUE INTERIEUR;48,82146;2,319226;;BD PERIPHERIQUE INTERIEUR;0.0;;0;70
1742;2,02E+11;138 305 076;A01;1;1;7;;2;75;75116;BD PERIPHERIQUE EXTERIEUR;48,8395896;2,2539032;;BD PERIPHERIQUE EXTERIEUR;0.0;;0;70
1743;2,02E+11;138 305 077;B01;1;4;34;;2;75;75116;BD PERIPHERIQUE EXTERIEUR;48,8395896;2,2539032;;BD PERIPHERIQUE EXTERIEUR;0.0;;0;70
1744;2,02E+11;138 305 074;B01;1;1;7;;2;75;75118;BD PERIPHERIQUE EXTERIEUR;48,900802;2,369807;;BD PERIPHERIQUE EXTERIEUR;0.0;;0;70
1745;2,02E+11;138 305 075;A01;1;4;33;;2;75;75118;BD PERIPHERIQUE EXTERIEUR;48,900802;2,369807;;BD PERIPHERIQUE EXTERIEUR;0.0;;0;70
1746;2,02E+11;138 305 071;A01;1;4;31;;2;75;75114;ECHANGEUR ORLEANS;48,8194839;2,3287882;;ECHANGEUR ORLEANS;0.0;;0;50
1747;2,02E+11;138 305 072;B01;2;1;7;;2;75;75114;ECHANGEUR ORLEANS;48,8194839;2,3287882;;ECHANGEUR ORLEANS;0.0;;0;50
1748;2,02E+11;138 305 072;B01;1;1;7;;2;75;75114;ECHANGEUR ORLEANS;48,8194839;2,3287882;;ECHANGEUR ORLEANS;0.0;;0;50
1749;2,02E+11;138 305 073;C01;1;1;7;;2;75;75114;ECHANGEUR ORLEANS;48,8194839;2,3287882;;ECHANGEUR ORLEANS;0.0;;0;50
